"number"|"type"|"state"|"u_change_outcome"|"u_approval_requested"|"approval"|"short_description"|"description"|"assignment_group"|"cmdb_ci"|"u_request_window_exception"|"start_date"|"end_date"|"work_start"|"work_end"|"risk"|"u_user_impact"|"u_technical_impact"
"CHG0043048"|"Normal"|"Cancelled"|""|"3/11/2020 13:25"|"Rejected"|"Bluecat DHCP DNS Servers - Upgrade and apply service patch"|"Bluecat Networks have provided latest version and software patch (214) for various set of security fixes. During this Change patches will be applied only to the Back end Servers. Services are fully redundant so there will be minor impact. Users may experience discrepancies  in DNS resolution for less than 2 minutes. "|"DNS and IP Address Management"|"DNS - USC Domain Name Service"|"False"|"6/18/2020 22:00"|"6/19/2020 1:00"|""|""|"Medium"|"May experience discrepancies  in DNS resolution for less than 2 mins. During the upgrade process BAM console cannot be accessible."|" none"
"CHG0043898"|"Emergency"|"Cancelled"|""|""|"Not Requested"|"."|"."|"Network Engineering"|"CAL-5412-DA2"|"False"|"6/18/2020 17:07"|"6/18/2020 17:07"|""|""|"Low"|"."|"."
"CHG0043708"|"Normal"|"Closed"|"Implemented � with issues"|"6/5/2020 10:29"|"Approved"|"VPN tunnel access for IBM to reach CAL SecSvcs VLAN at 10.17.100.0/24"|"IBM requires their current firewall rules that allow them to reach QRadar at 10.100.177.17, 18 to be replicated on the datacenter firewall where the new Security Services VLAN is. This is so that they may continue administering the new QRadar hardware which is now behind the new Security services VLAN.

ZOOM BRIDGE INFO:
https://usc.zoom.us/j/8949377118?pwd=RURHWmJYbDhZbFNlZWdLcm5hOFBGQT09"|"Firewall Services"|"cal-7030e-dfw1"|"False"|"6/18/2020 9:00"|"6/18/2020 16:00"|"6/18/2020 10:00"|"6/19/2020 16:30"|"Medium"|"None - this is new hardware that is not servicing the university. The only potential impact is if the new policies specific to MSS affect the BFW/DFW when implemented."|"The new SIEM hardware in the new security VLAN will enhance currently logging and monitoring capabilities, allowing the Security Operations team to function more effectively in helping to secure network assets."
"CHG0043896"|"Emergency"|"Cancelled"|""|""|"Not Requested"|"LE L3 testing - Multicast"|"Router-Multicast VRF IPv4 Testing within Vendor VRF - related to Learning Environment Project


Leaf Pair: # MCC-7504-CL1	# PHE-7504-CL1
Bldgs : GFS
and 
Leaf Pair: # MCC-7504-CL2	# PSD-7504-CL1
Bldgs : SOS"|"Network Engineering"|"mcc-7504-cl2"|"False"|"6/17/2020 22:00"|"6/18/2020 2:00"|""|""|"Low"|"Work to be completed within Campus Leaf Pairs shown below  and within Vendor VRF:
Leaf Pair: # MCC-7504-CL1	# PHE-7504-CL1
Bldgs : GFS
and 
Leaf Pair: # MCC-7504-CL2	# PSD-7504-CL1
Bldgs : SOS
"|"Configure new SVI's and create new vlans within Vendor VRF between which L3 Multicast traffic will route between buildings and leaf pairs."
"CHG0043897"|"Emergency"|"Closed"|"Implemented � Successful"|""|"Requested"|"Improved Multicast segmentation for LE"|"Current layer2 extension of multicast across the campus has brought up certain bugs in Aruba software at the building distribution level and at the same time shown certain scaling limitations. Troubleshooting a large flat layer2 broadcast environment can become another challenge.

This change will
- move from a single VLAN and layer2 broadcast everywhere to each building with its own segment broadcast. 
- Introduce PIM in the underlay


Topic: Multicast Segmentation for Learning Environment
Time: Jun 17, 2020 10:00 PM Pacific Time (US and Canada)

Join Zoom Meeting
https://usc.zoom.us/j/98625706955?pwd=M3p2cnFCNFBHdk5RU0UyN2JLZG10QT09

Meeting ID: 986 2570 6955
Password: 673520
One tap mobile
+16699006833,,98625706955# US (San Jose)
+13462487799,,98625706955# US (Houston)

Dial by your location
        +1 669 900 6833 US (San Jose)
        +1 346 248 7799 US (Houston)
        +1 253 215 8782 US (Tacoma)
        +1 312 626 6799 US (Chicago)
        +1 646 876 9923 US (New York)
        +1 301 715 8592 US (Germantown)
Meeting ID: 986 2570 6955
"|"Network Engineering"|"mcc-7504-cl2"|"False"|"6/17/2020 22:00"|"6/18/2020 2:00"|""|""|"Low"|"User impact should not be any as this is an isolated work
"|"Configure new SVI's and create new vlans within Vendor VRF between which L3 Multicast traffic will route between buildings and leaf pairs.
Work to be completed within Campus Leaf Pairs shown below  and within Vendor VRF:
Leaf Pair: # MCC-7504-CL1	# PHE-7504-CL1
Bldgs : GFS
and 
Leaf Pair: # MCC-7504-CL2	# PSD-7504-CL1
Bldgs : SOS"
"CHG0043874"|"Standard"|"Pending"|""|""|"Approved"|"Bring dhcp-wireless-svc1 & dhcp-wireless-svc2 to network in HSV"|"Power on dhcp-wireless-svc1 & dhcp-wireless-svc2 and bring them to network for remote access. These 2 servers have been powered off for a while and we are planning to use them as DHCP servers in future. They have been moved from CAL to HSV and are currently powered off. 

Please note: This change is only to bring these servers to network. They won't be providing DHCP services yet.

Zoom bridge if needed:
https://usc.zoom.us/j/97072508867?pwd=dGo3Zm4rU1FrWmwxNXdUaCsrcGZQQT09 "|"Network Engineering"|"Network Engineering"|"False"|"6/17/2020 16:50"|"6/17/2020 18:30"|""|""|"Low"|"If done as a service request, will provide customer with needed connection."|"Additional connection to the network will need to be documented."
"CHG0043820"|"Standard"|"Closed"|"Implemented � Successful"|""|"Approved"|"Configure and install additional 24 port blade on MHP-5406-FL1"|"As a part of learning environment upgrade, configure and install additional 24 port blade on MHP-5406-FL1. 
Additional blade specification: HP J9986A 24p 10/100/1000BASE-T PoE"|"Network Engineering"|"MHP-5406-FL1"|"False"|"6/17/2020 14:00"|"6/17/2020 14:45"|""|""|"Low"|"No user impact anticipated."|"No technical impact anticipated. Modules HP J9986A are hot swappable. "
"CHG0043819"|"Standard"|"Closed"|"Implemented � Successful"|""|"Approved"|"Configure and install additional 24 port blade on vhe-5406-fl3"|"As a part of learning environment upgrade, configure and install additional 24 port blade on vhe-5406-fl3. 
Additional blade specification: HP J9986A 24p 10/100/1000BASE-T PoE"|"Network Engineering"|"vhe-5406-fl3"|"False"|"6/17/2020 12:00"|"6/17/2020 12:45"|"6/17/2020 10:20"|"6/17/2020 10:25"|"Low"|"No user impact anticipated."|"No technical impact anticipated. Modules HP J9986A are hot swappable. "
"CHG0043891"|"Standard"|"Closed"|"Implemented � Successful"|""|"Not Requested"|"Firewall policy change - Ellison to Keck PDMZ - permit"|"robo 
Ellison Internal
to 
pdmz
netgrp_keck_public
netgrp_keck_rfc1918"|"Firewall Services"|"cal-7050A-bfw"|"False"|"6/17/2020 10:15"|"6/17/2020 10:30"|"6/17/2020 10:15"|"6/17/2020 10:17"|"Low"|"Users and/or systems will have new/no/modified access to systems and services."|"A new rule will be added to a firewall."
"CHG0043816"|"Standard"|"Closed"|"Implemented � Successful"|""|"Approved"|"Configure and install additional 24 port blade on KAP-5412-FL2 "|"As a part of learning environment upgrade, configure and install additional 24 port blade on KAP-5412-FL2. 
Additional blade specification: HP J9986A 24p 10/100/1000BASE-T PoE"|"Network Engineering"|"KAP-5412-FL2"|"False"|"6/17/2020 10:00"|"6/17/2020 10:45"|"6/17/2020 9:50"|"6/17/2020 9:59"|"Low"|"No user impact anticipated."|"No technical impact anticipated. Modules HP J9986A are hot swappable. "
"CHG0043861"|"Standard"|"Implemented � Successful"|"Implemented � Successful"|""|"Approved"|"Lab software license renewal  (File-based update) - MATLAB 2020a"|"This procedure is performed at least 1X each year for numerous lab software packages when we upgrade to a more current version or to update existing licenses to prevent their expiration.
 Often, licenses must be issued with little lead time, forcing us to utilize an emergency change or delay the change until the next CAB meeting. If we don't update software licenses then they will expire and users will not be able to run applications. Also, we would not be able to install and run new applications either.
"|"System Administrators"|"ics-lic2.ics"|"False"|"6/17/2020 6:47"|"6/17/2020 7:30"|""|""|"Low"|"Users will continue to be able to use the software without interruption if this change is made in a timely fashion. If we don't update software licenses then they will expire and users will not be able to run applications. Also, we would not be able to install and run new applications either."|"This change will not have any impact on the server or infrastructure."
"CHG0043890"|"Standard"|"Closed"|"Implemented � Successful"|""|"Approved"|"Pull Module adminusers on EIS puppet"|"We are pulling/cloning module _ on inf-master/eis-puppet.  This change has been approved by the puppet committee by vote on Gerrit.  The reason we want to pull this module is .


The module is in use by the following population of services:
jci-app1
kc-app1
kc-app2
kc-app3
kfs-app1
kfs-app2
kfs-app3
kfs-app4
kfs-app5
kfs-app6
kfs-jobs-app1
rice-app1
rice-app2
rice-app3


Changes to this module may cause a non-disruptive restart of _ services.  It does not require a downtime/outage of any end-user facing services."|"System Administrators"|"puppet-apps"|"False"|"6/16/2020 23:45"|"6/16/2020 23:55"|"6/16/2020 23:45"|"6/16/2020 23:57"|"Low"|"None, otherwise you shouldn't be using this standard change."|"List of things this puppet change does, eg. from the git log."
"CHG0043757"|"Normal"|"Cancelled"|""|""|"Not Requested"|"Deploy new 5406 HPE floor switch at VKC"|"Deploy new 5406 HPE floor switch (VKC-5406-FL6) at VKC, as a part of Learning Environment upgrade project. Please review the attached email conversation for details. 

The new VKC-5406-FL6 will be deployed in room 280. "|"Network Engineering"|"VKC-5406-FL6"|"False"|"6/16/2020 22:00"|"6/17/2020 1:00"|""|""|"Medium"|"We are not expecting any technical issues. This is a new deployment to increase port capacity at VKC as a part of learning environment upgrade project."|"We are not expecting any technical issues. This is a new deployment to increase port capacity at VKC as a part of learning environment upgrade project."
"CHG0043763"|"Normal"|"Closed"|"Implemented � Successful"|"6/11/2020 10:13"|"Approved"|"Upgrading PTD Building and Floor Switches to 16.07.0004"|"We have 157 Aruba Switches deployed as Building distribution switches(3810, 5406,5412's) in the campus environment. 
Firmware running on these switches vary from KB.16.05.0011 to KB.16.07.0004 
We'd like to be consistent and standardize firmware running across both Aruba Building distribution and Floor switches.  
Upon discussion with Aruba Enterprise account team we've decided to upgrade the switches to KB.16.07.0004  since  KB.16.07.0004  is tried and tested and working well in our environment.
During this change Window We will upgrade the following Aruba switches at PTD from KB.16.05.0011 to KB.16.07.0004 
-PTD-3810-BD1
-PTD-3810-BD2
-PTD-3810-FL1
-PTD-5406-FL2
-PTD-5406-FL3
-PTD-5406-FL4
-PTD-5406-FL5
 ZOOM --> https://usc.zoom.us/j/91502111507?pwd=SDJZSi8wNWZOMndpcTVpTnN6SGN6dz09"|"Network Engineering"|"PTD-3810-BD1"|"False"|"6/16/2020 22:00"|"6/17/2020 2:00"|"6/16/2020 22:00"|"6/16/2020 22:00"|"Medium"|"There will be brief user impact of 5-7 mins where the switches will reload during the upgrade process. "|"No tech impact is anticipated."
"CHG0043878"|"Standard"|"Implemented � Successful"|"Implemented � Successful"|""|"Not Requested"|"Replace certificate with a renewed or new certificate"|"Replace certificate with a renewed or new certificate

Join Zoom Meeting
https://usc.zoom.us/j/93380215150?pwd=VmhrZ0ZxdkQyRktIVkx4UlkrRk02Zz09

Meeting ID: 933 8021 5150
Password: 664977
One tap mobile
+16699006833,,93380215150# US (San Jose)
+12532158782,,93380215150# US (Tacoma)

Dial by your location
        +1 669 900 6833 US (San Jose)
        +1 253 215 8782 US (Tacoma)
        +1 346 248 7799 US (Houston)
        +1 646 876 9923 US (New York)
        +1 301 715 8592 US (Germantown)
        +1 312 626 6799 US (Chicago)
Meeting ID: 933 8021 5150
Find your local number: https://usc.zoom.us/u/ab8dbEsWVZ

Join by SIP
93380215150@zoomcrc.com

Join by H.323
162.255.37.11 (US West)
162.255.36.11 (US East)
115.114.131.7 (India Mumbai)
115.114.115.7 (India Hyderabad)
213.19.144.110 (EMEA)
103.122.166.55 (Australia)
209.9.211.110 (Hong Kong SAR)
64.211.144.160 (Brazil)
69.174.57.160 (Canada)
207.226.132.110 (Japan)
Meeting ID: 933 8021 5150
Password: 664977



"|"System Administrators"|"PCI"|"False"|"6/16/2020 22:00"|"6/16/2020 22:30"|"6/16/2020 22:05"|"6/16/2020 23:07"|"Low"|"None expected"|"Certificate will be valid for the desired time up to 3 years"
"CHG0043706"|"Normal"|"Closed"|"Implemented � with issues"|"6/11/2020 17:20"|"Approved"|"Bluecat Address Manager and DHCP DNS Servers - Upgrade to 9.2 and apply service patch"|"Bluecat Networks have provided latest version and software patch (214) for various set of security fixes. During this Change the servers will be upgraded and patches will be applied only to the Back end Servers. Services are fully redundant so there will be minor impact. 
Zoom Invite:
https://usc.zoom.us/j/99400016717?pwd=djJVUzl6aEhTNFlvQTNFQjB4YW52dz09"|"DNS and IP Address Management"|"DNS - USC Domain Name Service"|"False"|"6/16/2020 22:00"|"6/17/2020 3:00"|"6/16/2020 22:00"|"6/17/2020 4:15"|"Medium"|"During the upgrade process BAM console cannot be accessible. Users may experience discrepancies  in DNS resolution for less than 2 mins. 
Users will notice minor UI changes"|"none"
"CHG0043768"|"Standard"|"Closed"|""|""|"Approved"|"HPE Firmware Upgrade in Building Distribution switches where there is HA (redundancy)"|"The HPE switches in the buildings are running older software code which is prune to general system and security levels bugs.
The firmware upgrade will be done on all the HPE switches in the Building.
-PTD-3810-BD1
-PTD-3810-BD2
If building switches are not redundant  then confirm with building owners about timing of change code upgrade that require user impact and functionality changes  are not in the scope of a standard change"|"Network Engineering"|"PTD-3810-BD1"|"False"|"6/16/2020 22:00"|"6/17/2020 2:00"|"6/16/2020 22:00"|"6/16/2020 22:45"|"Low"|"None. Building distributions switches are fully redundant to the Campus Leaf Pairs. In addition the building switches have redundant links from each of the building distributions switches."|"Addresses a number of security and system level stability bugs."
"CHG0043885"|"Standard"|"Closed"|"Implemented � Successful"|""|"Approved"|"Production release of Kuali KFS and KC software updates"|"This process is performed on a monthly basis.  The software patch includes bug fixes,  improvements, enhancements etc... This procedure to install the software deployment is  the same way each time.  We use Jenkins ( https://jci-app1.usc.edu). a continuous integration server software to build our nodes

Deployment JIRA: KCS-2980

KCS-2982 Submit to Sponsor for existing enroute proposal without Performance Site data"|"Kuali Development"|"Kuali Financial System"|"False"|"6/16/2020 19:30"|"6/16/2020 20:30"|""|""|"Low"|"KFS users do NOT have system access during deployment.  Software patch could have U/I changes but will not cause any significant impact to user interface or warrant any changes to business processes."|"This change will NOT have any impact on the server or infrastructure."
"CHG0043887"|"Standard"|"Closed"|"Implemented � Successful"|""|"Approved"|"Permit SSH from rancid.usc.edu(10.109.254.45) to CAL-RED"|"Permit SSH from rancid.usc.edu(10.109.254.45) to CAL-RED"|"Network Engineering"|"rtr6"|"False"|"6/16/2020 17:00"|"6/16/2020 17:20"|""|""|"Low"|"No user impact"|"No tech impact. This is to allow SSH to CAL-RED from rancid."
"CHG0043888"|"Standard"|"Closed"|"Implemented � Successful"|""|"Approved"|"Activate 24p additional blade on BIT-5406-FL1 to increase port capacity"|"Activate 24p additional blade on BIT-5406-FL1 to increase port capacity.
blade type - j9986a
"|"Network Engineering"|"BIT-5406-FL1"|"False"|"6/16/2020 16:15"|"6/16/2020 16:30"|""|""|"Low"|"No user impact"|"No anticipated technical impact. This is a new blade addition to increase port capacity."
"CHG0043848"|"Normal"|"Closed"|"Implemented � Successful"|"6/13/2020 11:49"|"Approved"|"Undo Outlook Calendar free-busy visibility with Keck Med (med.usc.edu)"|"We were requested by ITS Management to remove configuration for organizational relationship/sharing in ITS O365 tenant for med.usc.edu.  They have already configured usc.edu in their tenant.  Although the initial configuration was successful, it was considered only a POC.  So we have been requested to remove our configuration until we can get the necessary communications, messaging, and approvals to re-implement.

ZOOM BRIDGE INFO:
https://usc.zoom.us/j/92239744418?pwd=aGdMLzloTExpYklQOVZDeWV1bmN5QT09"|"Enterprise Collaboration Team"|"Calendaring"|"True"|"6/16/2020 16:00"|"6/16/2020 16:30"|"6/16/2020 16:00"|"6/16/2020 16:04"|"Medium"|"Med users will lose free-busy calendar visibility of ITS users and vice versa."|"No technical impact other than the loss of user visibility of calendar free-busy."
"CHG0043775"|"Normal"|"Cancelled"|""|""|"Not Requested"|"Bring dhcp-wireless-svc1 & dhcp-wireless-svc2 to network in HSV"|"Power on dhcp-wireless-svc1 & dhcp-wireless-svc2 and bring them to network for remote access. These 2 servers have been powered off for a while and we are planning to use them as DHCP servers in future. They have been moved from CAL to HSV and are currently powered off. 

Please note: This change is only to bring these servers to network. They won't be providing DHCP services yet."|"Network Engineering"|"Network Engineering"|"False"|"6/15/2020 22:00"|"6/16/2020 1:00"|""|""|"Medium"|"No anticipated network. The server will be brought online but not providing any services."|"No anticipated network. The server will be brought online but not providing any services."
"CHG0043599"|"Normal"|"Closed"|"Implemented � Successful"|"6/9/2020 12:50"|"Approved"|"SCA Creative Network Enhancement"|"SCA Creative Network is currently connected at 1Gbps to Legacy Cisco Core which is planned for decommissioned by ITS. Brad Kean and Jason Martinez asked to increase link capacity to dual 10G links. We are proposing new connections to their parameter firewall with the SCA building distribution switches, see attached PPT for plans. Brad has already seen and confirmed June 13 10pm availability.

Scheduled Zoom meeting.

Topic: SCA Creative Network Enhancement
Time: Jun 8, 2020 10:00 PM Pacific Time (US and Canada)

Join Zoom Meeting
https://usc.zoom.us/j/93379274471?pwd=NkV2SS9DMHNoc0ordG9lalVnaERndz09

Meeting ID: 933 7927 4471
Password: 076743
One tap mobile
+16699006833,,93379274471# US (San Jose)
+13462487799,,93379274471# US (Houston)

Dial by your location
        +1 669 900 6833 US (San Jose)
        +1 346 248 7799 US (Houston)
        +1 253 215 8782 US (Tacoma)
        +1 312 626 6799 US (Chicago)
        +1 646 876 9923 US (New York)
        +1 301 715 8592 US (Germantown)
Meeting ID: 933 7927 4471
Find your local number: https://usc.zoom.us/u/aTIYqiPau
"|"Network Engineering"|"SCA-7050-BD1"|"False"|"6/15/2020 22:00"|"6/15/2020 23:59"|"6/15/2020 22:15"|"6/15/2020 22:38"|"Medium"|"Capacity change from 1Gbps to 20Gbps. Move user out from legacy Cisco switches to new S|C backbone."|"User's service will be out during their connection move."
"CHG0043871"|"Standard"|"Cancelled"|""|""|"Approved"|"Deploy KC ETL jobs on production cloverdx server."|"Deploy KC ETL jobs that which purpose is to load (one time only)  on/off campus buildings to the maintenance table so that researchers can choose the build they are doing the research."|"Kuali Coeus/TARA"|"Kuali Coeus"|"False"|"6/15/2020 20:30"|"6/15/2020 21:00"|""|""|"Low"|"Deployment of update sets do not impact users and will be able to continue working uninterrupted.  Larger update sets are scheduled outside of high usage times."|"None.  System will be available."
"CHG0043872"|"Standard"|"Closed"|"Implemented � Successful"|""|"Approved"|"Deploy KC ETL jobs"|"Deploy KC ETL jobs that which purpose is to load (one time only)  on/off campus buildings to the maintenance table so that researchers can choose the build they are doing the research.

ETL: kcOnOffCampusBldgsUpload_prod_final.grf"|"Kuali Development"|"Kuali Coeus"|"False"|"6/15/2020 20:00"|"6/15/2020 21:00"|""|""|"Low"|"Deployment of update sets do not impact users and will be able to continue working uninterrupted.  Larger update sets are scheduled outside of high usage times."|"None.  System will be available."
"CHG0043875"|"Standard"|"Closed"|"Implemented � Successful"|""|"Approved"|"Production release of Kuali KFS and KC software updates"|"This process is performed on a monthly basis.  The software patch includes bug fixes,  improvements, enhancements etc... This procedure to install the software deployment is  the same way each time.  We use Jenkins ( https://jci-app1.usc.edu). a continuous integration server software to build our nodes

Deployment JIRA: KCS-2902

The below KC JIRAs are being released tonight.
 
KCS-2923 Initial commit for the off campus maintenance table.
KCS-2920 Commit changes to add performance site on development proposal.
KCS-2921 - Institutional Proposal - Performance Site
KCS-2919 Commit UI changes for Development proposal.
KCS-2922 Performance site changes for Award document.
KCS-2902 Commit to fix the conflicts with trunk branch.
KCS-2968 Modify the code to add awardId in PF during save.
KCS-2966 Fix the dates on the AwardComments section.
KCS-2971 Add closeout end date updates on T&M document.
KCS-2943 Fix the null pointer exception when a proposal is copied.
KCS-2969 Add PF when copy from parent.
KCS-2970 Do not allow adding an inactive building (on-campus and off-campus) to Award
 
Total number of JIRAs = 12"|"Kuali Development"|"Kuali Financial System"|"False"|"6/15/2020 19:30"|"6/15/2020 20:30"|""|""|"Low"|"KFS users do NOT have system access during deployment.  Software patch could have U/I changes but will not cause any significant impact to user interface or warrant any changes to business processes."|"This change will NOT have any impact on the server or infrastructure."
"CHG0043742"|"Normal"|"Closed"|"Implemented � Successful"|"6/5/2020 11:47"|"Approved"|"Deletion of student records from the PR database - Batch 3"|"The Student system has deleted over 3 million records that were student inquires, applicants, or admits but, never enrolled students.  These student records are still in the PR database and it is a liability to keep these records in PR database.
A script has been developed to delete the student data using a list provided by the Student system.  If a record has student and non student (employee or guest) data, the script will intelligently remove the student  data keeping the other data in place.  It will take over 100 hours to delete all the data of the 3 million plus student records.  The plan is to run blocks of deletes (250K records per block) on off peak hour to minimize the impact to the database.  If the impact to the PR database is minimal, then the script may be run more often.
The initial runs will be of small block sizes to better evaluate the potential impact to the Production Oracle database.  This run will be 90K records.



Topic: Deletion of student records from the PR database - Batch 3
Time: Jun 14, 2020 03:00 AM Pacific Time (US and Canada)

Join Zoom Meeting
https://usc.zoom.us/j/98773631432?pwd=RksrVnptM2laQlRacTRxdWl6cXMrQT09

Meeting ID: 987 7363 1432
Password: 836756
One tap mobile
+16699006833,,98773631432# US (San Jose)
+12532158782,,98773631432# US (Tacoma)

Dial by your location
        +1 669 900 6833 US (San Jose)
        +1 253 215 8782 US (Tacoma)
        +1 346 248 7799 US (Houston)
        +1 312 626 6799 US (Chicago)
        +1 646 876 9923 US (New York)
        +1 301 715 8592 US (Germantown)
Meeting ID: 987 7363 1432
Find your local number: https://usc.zoom.us/u/a7qApjPDB
"|"Identity Management"|"Person Repository Data"|"False"|"6/14/2020 3:00"|"6/14/2020 19:00"|"6/14/2020 3:00"|"6/14/2020 7:32"|"Medium"|"None"|"The load on the PR database may cause slower response to systems that interact with the PR application thus the plan to run the script during off peak hours."
"CHG0043644"|"Normal"|"Cancelled"|""|""|"Not Requested"|"NRT Border Router"|"HSC campus currently has only one border router (in HSV) providing connectivity to HSC firewalls each at HSV and NRT. A new Arista 7280 switch-router was purchased for NRT and has already been racked and installed. It has network connections to both firewalls and to HSV border router. To make it fully operational, this router needs L2/L3 configuration. 

During this change the router will be configured to establish MLAG to HSV router, participate in LACP for both HSC firewalls, establish iBGP with HSC router and BGP with border firewalls. "|"Network Engineering"|"hsv-7280-br1"|"False"|"6/13/2020 22:00"|"6/14/2020 1:00"|""|""|"Low"|"None."|"Provide LACP redundancy for HSC firewalls and enable routing functionalities in NRT."
"CHG0043519"|"Normal"|"Closed"|"Implemented � Successful"|"6/8/2020 8:50"|"Approved"|"Wireless Controller upgrade to 8.5.0.9"|"Current code 8.5.0.6 has a bug that is fixed in 8.5.0.9
Aruba Support Advisory ARUBA-SA-20200410-PLN601

https://usc.zoom.us/j/93090314353?pwd=eStVd1F6OENkMXozNkdyVTFIMGsxUT09
"|"Wireless Services"|"mcc-mm-02"|"False"|"6/13/2020 22:00"|"6/14/2020 2:00"|"6/13/2020 22:00"|"6/13/2020 23:52"|"Medium"|"Users will lose connectivity from the wireless networks during the reboot of the access points approx 5-10 minutes.
"|"Ap's will have the code preloaded prior to the upgrade to reduce the reboot duration. 
All WLC controllers will be rebooted at the same time to avoid ap moves this will avoid the ap's getting into the error state caused by the bug 

UPC Cluster ap count 4500 
NUP Cluster ap count 3000
HSC Cluster ap count 800
Remote Cluster ap count 220
Remote cluster includes ADP ICR and Catalina. 
"
"CHG0043713"|"Normal"|"Closed"|"Implemented � Successful"|"6/1/2020 13:47"|"Approved"|"Upgrade QRadar machines (4) from 7.3.2 patch 6 to 7.4.0 patch 2  [VSOC 0701920103]"|"ZOOM BRIDGE INFO:
https://usc.zoom.us/j/8949377118?pwd=RURHWmJYbDhZbFNlZWdLcm5hOFBGQT09

Due to recent vulnerabilities announced by the vendor, MSS is requesting a maintenance window be scheduled to perform a firmware upgrade on the selected device(s).  Please note that if management is shared between MSS and your Cloud Provider, you may be required to contact your Cloud Provider to address this notification.  If you are unsure, please contact the SOC for guidance.


Below is the weblink to the IBM Qradar  Security Advisory Information:
https://www.ibm.com/support/pages/node/6189711
https://www.ibm.com/support/pages/node/6189723
https://www.ibm.com/support/pages/node/6189675
https://www.ibm.com/support/pages/node/6189663
https://www.ibm.com/support/pages/node/6189645
https://www.ibm.com/support/pages/node/6189729
https://www.ibm.com/support/pages/node/6189735
https://www.ibm.com/support/pages/node/6189705
https://www.ibm.com/support/pages/node/6189651
https://www.ibm.com/support/pages/node/6189741



Problem:
Please review provided link above for details.

Risk Level:
LOW

Solution:
Upgrade device(s) to version : Qradar 7.4.0 Patch 2

(Note: If IBM SOC has approved a new version due to a security vulnerability announcement, the newest approved version will be applied)

For IBM managed devices, IBM Security Services is requesting a 1 hour window per device or a 2 hour window for HA devices to perform the upgrade. Please plan for a 7 day lead time when scheduling as upgrades require preparation before the upgrade window.
Please note, this upgrade could require the policy to be altered and/or a reboot of the device(s) and could interrupt network connectivity if not operating as an HA pair.

For scheduling multiple windows, please open a ticket for each window via the VSOC portal.
Please use the ticket type Software Upgrade which is located under the Other Service Requests category.
Include the following information:
Upgrade version
Original advisory ticket #  
Window Contact Name and Number and if required to start the upgrade or just in case of issues during upgrade.


MSS IBM Security Operations Center offers the following recommendations for patch/upgrade installation time ranges:
�     High Severity - 30 Days
�     Medium Severity - 60 Days
�     Low Severity - 180 Days
"|"Information Security Systems"|"QRadar"|"False"|"6/13/2020 0:00"|"6/13/2020 5:00"|"6/13/2020 0:00"|"6/13/2020 0:00"|"High"|"The QRadar console will be unavailable while the upgrade is in process. It is expected that the upgrade ftime will be approximately three hours.  During the time that Event Collector is down, no logs will collected.
End users  of machines logging to QRadar should not be affected."|"(We should receive a more concise update plan once IBM completes the upgrade plan in three business days.)

Known minor security issues should be mitigated in this update.

During the upgrade, each of the appliances will stop collecting and processing events/flows.

If something goes wrong, event/flow collecting/processing will be stopped on the affected box until it becomes operational."
"CHG0043791"|"Normal"|"Cancelled"|""|""|"Not Requested"|"New MAC-AUTH policy in Clearpass for Ellison's New Juniper Environment"|"Creation of a new wired dot1x mac-auth policy for ellison to accommodate their new Juniper environment so device registration works on the wired with mac-auth. "|"Wireless Services"|"cppm-pub"|"False"|"6/12/2020 22:00"|"6/13/2020 2:00"|""|""|"Low"|"Should have no user impact"|"Should not have any technical impact"
"CHG0043831"|"Emergency"|"Cancelled"|""|""|"Not Requested"|"Zoom updates  "|"The following updates in Zoom are : 
1. In Zoom recording : Record gallery view with shared screen  / And Record active speaker, gallery view and shared screen separately 

2. waiting room feature being locked by admin.  (& Unlock) - REQ0180838>RITM0181483




"|"Zoom Support"|"Zoom"|"False"|"6/12/2020 22:00"|"6/12/2020 23:00"|""|""|"Low"|"LOW"|"LOW"
"CHG0043494"|"Normal"|"Closed"|"Implemented � Successful"|"6/8/2020 8:20"|"Approved"|"Configure Root guard on cal-7280-col1 & cal-7280-col3"|"One of the customer switches (MAC - 0019.bbb5.2100) in colo environment is advertising superior BPDUs and has assumed the role of root bridge in our environment. Our spine switch (cal-7060-cs1) needs to be to root bridge. In order to achieve that, we need to implement root guard on Po384 interface of cal-7280-col1 & cal-7280-col3. Please see the attached spreadsheet for more details.

Link to zoom bridge:

https://usc.zoom.us/j/92509131418?pwd=bkp0bS9JVTlsdmpRUy9vd0UxcCtydz09 "|"Network Engineering"|"cal-7280-col1"|"False"|"6/12/2020 22:00"|"6/12/2020 23:59"|"6/12/2020 22:00"|"6/12/2020 22:35"|"Medium"|"- This change will cause root bridge change to cal-7060-cs1 (spine switch). There might be a brief disruption of few seconds (2-5) while spanning-tree convergence occurs. Users might experience a blip in USC network, but TCP should recover itself."|"- This change will cause root bridge change to cal-7060-cs1 (spine switch). There might be a brief disruption of few seconds while spanning-tree convergence occurs. Users might experience a blip in USC network."
